2021-12-02 13:49:44.306  INFO Musso --- [           main] .b.t.a.w.s.WebMvcTestContextBootstrapper : Neither @ContextConfiguration nor @ContextHierarchy found for test class [org.springframework.samples.petclinic.owner.OwnerControllerTests], using SpringBootContextLoader
2021-12-02 13:49:53.023  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.044  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.059  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:53.061  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 6
2021-12-02 13:49:53.062  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.079  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.099  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:53.101  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 3
2021-12-02 13:49:53.102  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.120  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.141  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.165  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:53.167  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 4
2021-12-02 13:49:53.168  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.187  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.207  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.224  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.239  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:53.241  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 5
2021-12-02 13:49:53.244  INFO Musso --- [           main] Analytics                                : Feature on 1: not found
2021-12-02 13:49:53.261  INFO Musso --- [           main] Analytics                                : Feature on 2: George Franklin
2021-12-02 13:49:53.262  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for enabled: 2
2021-12-02 13:49:53.264  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.280  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.295  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:53.297  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 3
2021-12-02 13:49:53.298  INFO Musso --- [           main] Analytics                                : Feature on 1: not found
2021-12-02 13:49:53.312  INFO Musso --- [           main] Analytics                                : Feature on 1: not found
2021-12-02 13:49:53.329  INFO Musso --- [           main] Analytics                                : Feature on 2: George Franklin
2021-12-02 13:49:53.331  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for enabled: 3
2021-12-02 13:49:53.332  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.354  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.381  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.403  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.430  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:53.433  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 5
2021-12-02 13:49:53.435  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.458  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:53.461  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 2
2021-12-02 13:49:53.463  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.479  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.496  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:53.497  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 3
2021-12-02 13:49:53.499  INFO Musso --- [           main] Analytics                                : Feature on 1: not found
2021-12-02 13:49:53.517  INFO Musso --- [           main] Analytics                                : Feature on 1: not found
2021-12-02 13:49:53.540  INFO Musso --- [           main] Analytics                                : Feature on 2: George Franklin
2021-12-02 13:49:53.542  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for enabled: 3
2021-12-02 13:49:53.546  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.567  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.588  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.615  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:53.618  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 4
2021-12-02 13:49:53.620  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.657  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.682  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.698  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:53.699  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 4
2021-12-02 13:49:53.701  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.721  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.739  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.756  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.776  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.792  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:53.795  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 6
2021-12-02 13:49:53.796  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.816  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.840  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:53.842  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 3
2021-12-02 13:49:53.845  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.862  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.879  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.900  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:53.901  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 4
2021-12-02 13:49:53.903  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.920  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.935  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.949  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.966  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:53.988  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:53.990  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 6
2021-12-02 13:49:53.991  INFO Musso --- [           main] Analytics                                : Feature on 1: not found
2021-12-02 13:49:54.019  INFO Musso --- [           main] Analytics                                : Feature on 2: George Franklin
2021-12-02 13:49:54.021  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for enabled: 2
2021-12-02 13:49:54.022  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:54.048  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:54.066  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:54.085  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:54.100  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:54.101  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 5
2021-12-02 13:49:54.103  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:54.115  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:54.132  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:54.144  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:54.146  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 4
2021-12-02 13:49:54.147  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:54.159  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:54.173  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:54.189  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:54.191  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 4
2021-12-02 13:49:54.195  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:54.208  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:54.226  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:54.243  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:54.245  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 4
2021-12-02 13:49:54.247  INFO Musso --- [           main] Analytics                                : Feature on 1: not found
2021-12-02 13:49:54.268  INFO Musso --- [           main] Analytics                                : Feature on 2: George Franklin
2021-12-02 13:49:54.269  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for enabled: 2
2021-12-02 13:49:54.270  INFO Musso --- [           main] Analytics                                : Feature on 1: not found
2021-12-02 13:49:54.287  INFO Musso --- [           main] Analytics                                : Feature on 2: George Franklin
2021-12-02 13:49:54.288  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for enabled: 2
2021-12-02 13:49:54.289  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:54.306  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
